"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
1364,622,812,1907,147,632,1709,141,1000,1929,1602,1810,1618,1151,1714,66,1508,1360,1984,958,1649,1399,467,1461,1569,1718,1055,184,1979,1646,1416,462,250,991,437,285,720,1839,165,260,1017,485,403,506,142,631,578,88,466,1423
1105,1889,642,830,1250,1693,314,1620,1041,60,1349,612,333,1335,1429,304,1554,1522,569,1574,614,1719,294,910,163,1006,397,1498,171,1146,1248,925,1784,839,1896,290,1901,1474,561,1946,1943,1153,351,356,1774,1411,949,91,781,765
993,1113,1069,477,656,1543,199,362,456,584,85,1260,1280,764,638,1942,756,1583,323,1176,502,1460,1088,1655,1437,1672,353,478,1699,1412,1120,1073,272,616,20,572,401,591,1615,1932,218,1748,79,1995,80,1162,1802,1283,795,1503
805,228,83,1917,1635,1512,100,37,559,1215,1560,47,883,1143,361,1546,801,1685,1920,1903,267,710,1202,503,430,1940,33,1792,422,1547,1277,831,543,1011,1257,377,732,1830,416,908,46,41,560,1526,135,935,1559,553,1589,1561
1844,1991,770,1071,942,624,128,1207,1931,1499,677,1321,655,847,1549,1087,1755,690,9,457,1715,742,680,1159,474,187,1467,131,860,803,1925,637,1598,594,1732,1167,1059,1018,338,1816,421,1406,978,1959,1342,1530,1539,341,820,785
265,577,268,321,168,1973,1759,1161,1885,725,747,1388,1303,866,546,1442,1572,1292,368,714,1484,1586,1859,721,945,408,1504,1966,965,819,618,207,1594,855,315,1990,99,1933,164,1967,621,1424,65,358,347,784,1762,842,224,269
200,134,981,733,1894,1029,1182,689,1592,1807,1165,1052,1622,1551,726,372,1237,1311,1014,1641,895,857,943,1891,205,350,980,703,1108,220,1440,1634,89,471,1214,832,1043,144,1180,277,1398,1874,1119,215,713,1039,1118,1955,177,1639
1036,367,767,448,498,87,505,253,1434,1866,145,1352,266,384,992,1766,562,1117,1878,1469,1317,868,1721,1906,1486,18,197,1961,804,54,1960,452,146,628,1997,974,1697,31,27,1220,1987,115,110,451,533,193,1736,1600,1664,1331
1952,1860,1205,300,1042,862,633,162,982,1616,1243,1270,818,817,1319,1158,555,489,1538,1725,1094,169,799,869,876,1174,597,73,1473,629,522,1934,1326,1488,1713,658,476,63,1905,1737,1705,319,1871,1468,81,754,226,1707,1659,854
1861,44,473,1729,1777,511,823,646,414,426,1497,499,1603,446,941,1027,1142,859,673,973,332,1090,1927,1880,95,126,1334,1514,551,517,1037,856,1694,67,1394,181,719,276,701,1199,711,1305,436,464,105,1772,1786,1671,1681,1841
1897,928,600,1247,983,718,132,1100,1801,198,68,704,1761,376,10,1152,1479,1604,1904,840,38,337,848,1449,1840,32,1053,602,613,936,475,535,11,255,1218,641,796,753,1787,279,52,590,1357,393,8,1679,734,844,1768,1076
1266,166,1121,1805,1355,192,1529,49,544,334,644,178,17,357,975,527,375,1706,1082,103,14,1975,752,1136,482,1983,1338,697,1688,894,809,1876,1447,692,256,1457,903,1235,1913,1611,1590,405,1252,1958,470,412,1595,748,875,1828
1470,737,344,1944,1781,681,1064,1735,1033,519,1701,118,635,558,261,1095,1129,152,1534,194,1472,1753,1700,971,195,311,1139,1452,159,1684,617,1187,836,1475,161,373,460,1745,487,1032,1272,1226,410,1827,1056,360,1505,317,1630,301
663,264,1403,541,683,113,1515,1065,1743,1155,825,1080,1478,1359,969,867,1337,695,570,769,1466,1154,922,293,1612,1333,3,890,280,524,479,1951,1190,342,483,281,1217,245,453,1325,390,1926,12,1587,1365,386,1988,391,759,512
1025,1506,283,1149,78,1229,1557,744,1015,1548,1579,1200,1093,1208,1980,1245,425,579,1666,1054,615,671,1084,1757,1819,291,1448,335,824,1523,1900,738,296,1782,1971,123,1578,1009,1281,901,961,101,1382,1259,1383,1160,1171,1689,938,1289
